Agent	subject	GameNb	Deflations	Misses	Resets	ShotReg	Entropy	LogCV	ShotPer	RightReg	Score
Coupled	model_6592528450_1	1	96.0	63.0	3.0	0.27494061879942183	2.938219371323302	-0.9013435629960433	480.0	0.16485762861947584	256.0
Coupled	model_6592528450_1	2	22.0	107.0	2.0	0.41181428979174	2.848877025928763	-1.3099846437108977	512.0	0.3605711355150114	888.0
Coupled	model_6592528450_1	3	15.0	57.0	0.0	0.4774790772919237	2.3292448627944955	-1.7767653021401597	496.0	0.55706422350916	1486.0
Coupled	model_6592528450_1	4	12.0	42.0	0.0	0.5218976817677198	2.3252692974198346	-1.4100751050975997	496.0	0.4901174091275299	1718.0
Coupled	model_6592528450_1	5	15.0	46.0	2.0	0.5070371502037536	2.3584997979849054	-1.3223361841751158	496.0	0.5357312192154129	1508.0
Coupled	model_6592528450_1	6	20.0	51.0	0.0	0.4869756319934562	2.2496576582311336	-1.4796068174071233	496.0	0.5706765352755926	1198.0
Coupled	model_6592528450_1	7	19.0	63.0	0.0	0.48526141293729186	2.2307363888272307	-1.8959977594514617	496.0	0.5582201049206577	1174.0
Coupled	model_6592528450_1	8	16.0	52.0	1.0	0.4792955891113204	2.2165844650309694	-1.3405258477685418	496.0	0.547291902716066	1398.0
Coupled	model_6592528450_1	9	9.0	23.0	1.0	0.484989096951315	1.9704297609092802	-1.5390335723896964	496.0	0.5619009533980082	1872.0
Coupled	model_6592528450_1	10	17.0	62.0	0.0	0.430183446315134	2.693541669815112	-1.6470724158867336	496.0	0.5445265995474103	1078.0
Coupled	model_6592528450_1	11	10.0	38.0	0.0	0.4646347070189281	2.12903615582207	-1.3351784390392698	496.0	0.5351268210433389	2026.0
Coupled	model_6592528450_1	12	15.0	56.0	0.0	0.5013541173652664	2.250690071123034	-1.3616902922669338	496.0	0.5533775329845495	1588.0
Coupled	model_6592528450_1	13	14.0	57.0	1.0	0.539084885483767	2.667294252276266	-1.4796976157501212	496.0	0.6141842358982823	1286.0
Coupled	model_6592528450_1	14	25.0	30.0	0.0	0.4612750899308278	2.634568254192456	-1.1251151846911842	496.0	0.5083240334255873	1440.0
Coupled	model_6592528450_1	15	29.0	28.0	0.0	0.4447530394350009	2.472322009548204	-1.0565837162248775	512.0	0.46827318198639484	1644.0
Coupled	model_6592528450_2	1	100.0	46.0	12.0	nan	nan	nan	nan	nan	0.0
Coupled	model_6592528450_2	2	34.0	76.0	15.0	0.2862788889214621	3.0500132153222395	-0.9512344862740552	496.0	0.29625000624668546	760.0
Coupled	model_6592528450_2	3	26.0	58.0	1.0	0.33223806848965987	2.806790701991973	-1.1956570259982486	496.0	0.35088445331043755	1126.0
Coupled	model_6592528450_2	4	28.0	60.0	4.0	0.3542622031603353	2.509424773475697	-1.4316145198891694	512.0	0.2723560498251956	1182.0
Coupled	model_6592528450_2	5	32.0	35.0	1.0	0.28907477247182317	2.2235210247781727	-1.573366414253653	512.0	0.23581173959855703	1330.0
Coupled	model_6592528450_2	6	22.0	33.0	3.0	0.29831845002741597	2.5761077944585047	-1.6239712356100482	496.0	0.2631406973584049	1536.0
Coupled	model_6592528450_2	7	23.0	17.0	0.0	0.337065702738193	2.3013712567629248	-1.5175730362720332	512.0	0.32425873171796266	1866.0
Coupled	model_6592528450_2	8	55.0	28.0	1.0	0.2849152585199756	2.604322103230202	-1.3384597114355978	528.0	0.28507625037894535	1344.0
Coupled	model_6592528450_2	9	30.0	40.0	0.0	0.3317494259486384	2.6332410179523484	-1.2558397317726493	512.0	0.38711619250415896	1320.0
Coupled	model_6592528450_2	10	43.0	8.0	0.0	0.296830966605705	2.179605227411072	-1.415899524570059	512.0	0.24203351632477488	1884.0
Coupled	model_6592528450_2	11	21.0	27.0	0.0	0.40536203712233543	2.3151816028292633	-1.250831388157892	496.0	0.41138301685278156	1746.0
Coupled	model_6592528450_2	12	29.0	18.0	1.0	0.3970810679922902	2.462680510232577	-1.2412642433212244	496.0	0.3996011796706135	1664.0
Coupled	model_6592528450_2	13	14.0	102.0	0.0	0.4814158369926598	2.3915141457044227	-1.303921222111656	496.0	0.5539782000664769	1198.0
Coupled	model_6592528450_2	14	26.0	22.0	0.0	0.34551392086406235	2.529244426832739	-1.504639665321908	512.0	0.3594111678159182	1456.0
Coupled	model_6592528450_2	15	12.0	12.0	0.0	0.3958407441115821	2.2873896919333863	-1.2843248368812574	512.0	0.4235756763677927	1776.0
Coupled	model_6592528450_3	1	82.0	99.0	18.0	nan	nan	nan	nan	nan	0.0
Coupled	model_6592528450_3	2	63.0	91.0	10.0	0.14170506873642047	3.001112482531713	-0.8187233991271571	480.0	0.2192304625690517	490.0
Coupled	model_6592528450_3	3	47.0	105.0	9.0	0.20945092121186518	3.5046864145097247	-0.7891953372123423	480.0	0.11882016912577442	116.0
Coupled	model_6592528450_3	4	24.0	45.0	13.0	0.13726309945246015	2.785866856016677	-1.037029528865482	576.0	0.272258242445673	1612.0
Coupled	model_6592528450_3	5	19.0	39.0	3.0	0.385271701729276	2.718929832886282	-1.3808985859290128	496.0	0.4608411062744547	1424.0
Coupled	model_6592528450_3	6	16.0	43.0	3.0	0.4516033944261974	2.8899256942966516	-1.321852703762859	496.0	0.4742915339881346	1216.0
Coupled	model_6592528450_3	7	54.0	27.0	2.0	0.3385481737833233	2.9168132187781266	-1.2435838630630485	512.0	0.33417030771531336	1246.0
Coupled	model_6592528450_3	8	17.0	23.0	0.0	0.4022709951350723	2.637484373192889	-1.3596757432427982	512.0	0.465586016923318	1554.0
Coupled	model_6592528450_3	9	35.0	46.0	7.0	0.413928271860208	2.661983739994811	-1.3044351658145639	512.0	0.4399239897768492	1140.0
Coupled	model_6592528450_3	10	17.0	25.0	1.0	0.45673867669359147	2.4538012288767392	-1.3099985641958571	512.0	0.5286262211863184	1650.0
Coupled	model_6592528450_3	11	12.0	20.0	2.0	0.46284659354091906	2.43439758728662	-1.5214542949585392	512.0	0.4949507591207434	1760.0
Coupled	model_6592528450_3	12	13.0	14.0	0.0	0.42940394521898645	2.2466177977774127	-1.3288490313955401	512.0	0.5173826738479395	1972.0
Coupled	model_6592528450_3	13	23.0	18.0	0.0	0.4668028435943273	2.439949049907571	-1.1433765801833424	528.0	0.49773615770307506	1566.0
Coupled	model_6592528450_3	14	21.0	10.0	2.0	0.43878957462959023	2.228505311563913	-1.2537758453122723	512.0	0.5188463673833543	1780.0
Coupled	model_6592528450_3	15	31.0	37.0	2.0	0.4403775804733195	2.5618967071987475	-1.1580423733132899	512.0	0.5196187233426305	1430.0
Coupled	model_6592528450_4	1	93.0	93.0	14.0	nan	nan	nan	nan	nan	0.0
Coupled	model_6592528450_4	2	100.0	39.0	0.0	0.11516310319878967	3.094228747400292	-0.9942768193149696	512.0	0.18751176048503246	82.0
Coupled	model_6592528450_4	3	63.0	77.0	2.0	0.22237403393361496	3.24227678200806	-0.8560021736432121	464.0	0.10199758810447523	320.0
Coupled	model_6592528450_4	4	37.0	72.0	42.0	0.19012760489217598	3.266662698803772	-0.7502678654662978	480.0	0.030203204425521074	484.0
Coupled	model_6592528450_4	5	69.0	61.0	5.0	0.08315636530565479	3.166261287202535	-0.7332785827828666	368.0	0.10496903788390759	410.0
Coupled	model_6592528450_4	6	65.0	49.0	6.0	0.18641825407123658	3.247414822804594	-0.8340139622257912	480.0	0.21179845899564817	416.0
Coupled	model_6592528450_4	7	46.0	61.0	29.0	0.35355184104020543	3.2640037167491895	-0.9485820987618716	496.0	0.36304375237938696	396.0
Coupled	model_6592528450_4	8	31.0	50.0	1.0	0.32568576337978006	3.0138628447886093	-0.9922935416105283	496.0	0.3131136296683941	1300.0
Coupled	model_6592528450_4	9	21.0	71.0	2.0	0.49827819199408313	2.5796647563166184	-1.4964753466961305	496.0	0.5282058006207485	860.0
