Subject	Group	GameNb	ISI	IRI
A1U2A42K8FV3RA	Streamed	12	382.8617886178862	494.8032786885246
A1U2A42K8FV3RA	Streamed	13	373.8109243697479	499.4342857142857
A1U2A42K8FV3RA	Streamed	14	387.7688888888889	504.15340909090907
A1U2A42K8FV3RA	Streamed	15	380.26359832635984	508.195530726257
AFM65NU0UXIGP	Streamed	1	509.2549019607843	528.3896551724138
AFM65NU0UXIGP	Streamed	2	406.3279220779221	485.88709677419354
AFM65NU0UXIGP	Streamed	3	408.7175572519084	474.6589861751152
AFM65NU0UXIGP	Streamed	4	395.1018181818182	488.7196261682243
AFM65NU0UXIGP	Streamed	5	422.5308641975309	499.87786259541986
AFM65NU0UXIGP	Streamed	6	386.3029045643153	492.2197802197802
AFM65NU0UXIGP	Streamed	7	404.9886363636364	500.56310679611653
AFM65NU0UXIGP	Streamed	8	380.2455089820359	515.0
AFM65NU0UXIGP	Streamed	9	388.25714285714287	491.3975155279503
AFM65NU0UXIGP	Streamed	10	373.6738197424893	494.8546511627907
AFM65NU0UXIGP	Streamed	11	396.13432835820896	484.6792452830189
AFM65NU0UXIGP	Streamed	12	386.20361990950227	496.18674698795184
AFM65NU0UXIGP	Streamed	13	368.8369565217391	467.84507042253523
AFM65NU0UXIGP	Streamed	14	357.96774193548384	474.9352517985611
AFM65NU0UXIGP	Streamed	15	364.5377358490566	487.4415584415584
ACGHHDT7RY1AH	Streamed	1	800.5494505494505	506.1748251748252
ACGHHDT7RY1AH	Streamed	2	597.304347826087	465.7536945812808
ACGHHDT7RY1AH	Streamed	3	501.648	514.2468085106383
ACGHHDT7RY1AH	Streamed	4	492.2413793103448	491.6607142857143
ACGHHDT7RY1AH	Streamed	5	490.5260416666667	501.47222222222223
ACGHHDT7RY1AH	Streamed	6	406.74528301886795	518.3006134969326
ACGHHDT7RY1AH	Streamed	7	448.90140845070425	503.76795580110496
ACGHHDT7RY1AH	Streamed	8	450.12213740458014	508.0990990990991
ACGHHDT7RY1AH	Streamed	9	416.11038961038963	496.376
ACGHHDT7RY1AH	Streamed	10	409.9069069069069	510.87404580152673
ACGHHDT7RY1AH	Streamed	11	433.25	507.0755813953488
ACGHHDT7RY1AH	Streamed	12	390.92226148409895	500.46478873239437
ACGHHDT7RY1AH	Streamed	13	413.6	512.6943005181347
ACGHHDT7RY1AH	Streamed	14	402.10526315789474	497.6271186440678
ACGHHDT7RY1AH	Streamed	15	397.2886178861789	506.98387096774195
A11LNK1U3DT08V	Coupled	1	564.7005347593583	507.84466019417476
A11LNK1U3DT08V	Coupled	2	454.1727272727273	495.8974358974359
A11LNK1U3DT08V	Coupled	3	458.80132450331126	465.83916083916085
A11LNK1U3DT08V	Coupled	4	476.3233082706767	486.144
A11LNK1U3DT08V	Coupled	5	488.2972972972973	483.10135135135135
A11LNK1U3DT08V	Coupled	6	494.19354838709677	504.40277777777777
A11LNK1U3DT08V	Coupled	7	472.2238805970149	500.0989010989011
A11LNK1U3DT08V	Coupled	8	464.9260869565217	501.6135265700483
A11LNK1U3DT08V	Coupled	9	492.65677966101697	510.3772727272727
A11LNK1U3DT08V	Coupled	10	488.57142857142856	504.3333333333333
A11LNK1U3DT08V	Coupled	11	474.8495575221239	519.4830917874397
A11LNK1U3DT08V	Coupled	12	486.30845771144277	490.0357142857143
A11LNK1U3DT08V	Coupled	13	472.0331753554502	505.2642487046632
A11LNK1U3DT08V	Coupled	14	483.5056818181818	499.8848484848485
A11LNK1U3DT08V	Coupled	15	456.14375	512.7971014492754
A13B8594JIUFDF	Coupled	1	nan	nan
A13B8594JIUFDF	Coupled	2	nan	nan
A13B8594JIUFDF	Coupled	3	426.0652818991098	483.5679442508711
A13B8594JIUFDF	Coupled	4	488.22748815165875	466.3554502369668
A13B8594JIUFDF	Coupled	5	527.8950276243094	444.9452736318408
A13B8594JIUFDF	Coupled	6	504.83700440528634	499.15668202764977
A13B8594JIUFDF	Coupled	7	539.04375	489.9
A13B8594JIUFDF	Coupled	8	502.9956140350877	506.1209302325581
A13B8594JIUFDF	Coupled	9	483.875	515.4329268292682
A13B8594JIUFDF	Coupled	10	502.79891304347825	510.7298850574713
A13B8594JIUFDF	Coupled	11	490.9214659685864	512.6300578034682
A13B8594JIUFDF	Coupled	12	494.14611872146116	513.25
A13B8594JIUFDF	Coupled	13	510.4770642201835	507.0096618357488
A13B8594JIUFDF	Coupled	14	495.42857142857144	502.25308641975306
A13B8594JIUFDF	Coupled	15	502.0817610062893	507.11842105263156
A1DHJE69R494AH	Coupled	1	nan	nan
A1DHJE69R494AH	Coupled	2	nan	nan
A1DHJE69R494AH	Coupled	3	nan	nan
A1DHJE69R494AH	Coupled	4	nan	nan
A1DHJE69R494AH	Coupled	5	nan	nan
A1DHJE69R494AH	Coupled	6	518.7350427350427	538.5021834061135
A1DHJE69R494AH	Coupled	7	658.6032608695652	636.0526315789474
A1DHJE69R494AH	Coupled	8	491.2761904761905	504.4466019417476
A1DHJE69R494AH	Coupled	9	607.5	489.9306930693069
A1DHJE69R494AH	Coupled	10	383.033033033033	338.2590529247911
A1DHJE69R494AH	Coupled	11	499.1803278688525	502.44827586206895
A1DHJE69R494AH	Coupled	12	524.6397849462365	487.36315789473684
A1DHJE69R494AH	Coupled	13	510.9236641221374	473.14503816793894
A1DHJE69R494AH	Coupled	14	466.4651162790698	480.78205128205127
A1DHJE69R494AH	Coupled	15	515.2886597938144	470.2448979591837
A1FG2G0J8M9Q0N	Coupled	1	nan	nan
A1FG2G0J8M9Q0N	Coupled	2	nan	nan
A1FG2G0J8M9Q0N	Coupled	3	nan	nan
A1FG2G0J8M9Q0N	Coupled	4	nan	nan
A1FG2G0J8M9Q0N	Coupled	5	593.495	486.05882352941177
A1FG2G0J8M9Q0N	Coupled	6	648.9078947368421	481.9795918367347
A1FG2G0J8M9Q0N	Coupled	7	733.5927835051547	498.44444444444446
A1FG2G0J8M9Q0N	Coupled	8	628.9353233830846	492.736
A1FG2G0J8M9Q0N	Coupled	9	656.5154639175257	486.72549019607845
A1FG2G0J8M9Q0N	Coupled	10	738.4198473282443	491.578125
A1FG2G0J8M9Q0N	Coupled	11	689.2285714285714	487.41078838174275
A1FG2G0J8M9Q0N	Coupled	12	763.1654135338346	480.6256157635468
A1FG2G0J8M9Q0N	Coupled	13	640.7864583333334	490.04938271604937
A1FG2G0J8M9Q0N	Coupled	14	650.008064516129	477.95652173913044
A1FG2G0J8M9Q0N	Coupled	15	699.448087431694	474.4007936507937
A1U6L1L2CUQNU5	Coupled	1	nan	nan
A1U6L1L2CUQNU5	Coupled	2	599.202380952381	494.3298969072165
A1U6L1L2CUQNU5	Coupled	3	613.0814814814814	472.5843373493976
A1U6L1L2CUQNU5	Coupled	4	529.6413043478261	464.0033222591362
A1U6L1L2CUQNU5	Coupled	5	509.88461538461536	488.3387978142076
A1U6L1L2CUQNU5	Coupled	6	541.265306122449	445.578313253012
A1U6L1L2CUQNU5	Coupled	7	493.17843866171006	491.6264591439689
A1U6L1L2CUQNU5	Coupled	8	508.22435897435895	500.72425249169436
A1U6L1L2CUQNU5	Coupled	9	527.6698113207547	482.7260273972603
A1U6L1L2CUQNU5	Coupled	10	541.184	491.46564885496184
A1U6L1L2CUQNU5	Coupled	11	457.25	495.7038626609442
A1U6L1L2CUQNU5	Coupled	12	463.1720930232558	484.203125
A1U6L1L2CUQNU5	Coupled	13	463.66820276497697	501.2421052631579
A1U6L1L2CUQNU5	Coupled	14	486.36241610738256	481.41726618705036
A1U6L1L2CUQNU5	Coupled	15	585.6353591160221	500.4228855721393
A25W2106F90G7L	Coupled	1	1016.4719101123595	399.02252252252254
A25W2106F90G7L	Coupled	2	656.9364161849711	504.11210762331837
A25W2106F90G7L	Coupled	3	565.3218390804598	499.3125
A25W2106F90G7L	Coupled	4	572.4051724137931	496.9541984732824
A25W2106F90G7L	Coupled	5	578.5137614678899	471.37984496124034
A25W2106F90G7L	Coupled	6	499.835	503.3979591836735
A25W2106F90G7L	Coupled	7	569.1333333333333	472.8490566037736
A25W2106F90G7L	Coupled	8	573.7860696517413	499.26106194690266
A25W2106F90G7L	Coupled	9	522.9558823529412	482.3255813953488
A25W2106F90G7L	Coupled	10	594.6923076923077	500.8173076923077
A25W2106F90G7L	Coupled	11	527.9042553191489	507.0523560209424
A25W2106F90G7L	Coupled	12	548.6704545454545	506.3027027027027
A25W2106F90G7L	Coupled	13	530.6916666666667	500.0
A25W2106F90G7L	Coupled	14	480.13907284768214	491.46666666666664
A25W2106F90G7L	Coupled	15	468.2881355932203	497.61574074074076
A2DMUU9GE8QA5Q	Coupled	1	nan	nan
A2DMUU9GE8QA5Q	Coupled	2	nan	nan
A2DMUU9GE8QA5Q	Coupled	3	nan	nan
A2DMUU9GE8QA5Q	Coupled	4	404.21259842519686	473.6106194690266
A2DMUU9GE8QA5Q	Coupled	5	450.1781818181818	556.7716894977169
A2DMUU9GE8QA5Q	Coupled	6	440.34090909090907	574.2537313432836
A2DMUU9GE8QA5Q	Coupled	7	394.13178294573646	478.74881516587675
A2DMUU9GE8QA5Q	Coupled	8	407.85915492957747	475.8333333333333
A2DMUU9GE8QA5Q	Coupled	9	428.1578947368421	481.9448275862069
A2DMUU9GE8QA5Q	Coupled	10	446.30973451327435	491.5773195876289
A2DMUU9GE8QA5Q	Coupled	11	422.7470588235294	471.1953642384106
A2DMUU9GE8QA5Q	Coupled	12	431.83663366336634	473.21965317919074
A2DMUU9GE8QA5Q	Coupled	13	427.0054347826087	485.36538461538464
A2DMUU9GE8QA5Q	Coupled	14	419.59856630824373	483.54782608695655
A2DMUU9GE8QA5Q	Coupled	15	423.25210084033614	489.7164179104478
A2FM6APZP3FN22	Coupled	1	nan	nan
A2FM6APZP3FN22	Coupled	2	nan	nan
A2FM6APZP3FN22	Coupled	3	608.5384615384615	767.2
A2FM6APZP3FN22	Coupled	4	nan	nan
A2FM6APZP3FN22	Coupled	5	nan	nan
A2FM6APZP3FN22	Coupled	6	539.9260869565218	549.5454545454545
A2FM6APZP3FN22	Coupled	7	598.6577540106952	472.61233480176213
A2FM6APZP3FN22	Coupled	8	698.7530864197531	483.25221238938053
A2FM6APZP3FN22	Coupled	9	735.7077922077922	536.170731707317
A2FM6APZP3FN22	Coupled	10	583.2579185520362	481.980694980695
A2FM6APZP3FN22	Coupled	11	357.08639308855294	317.02569169960475
A2FM6APZP3FN22	Coupled	12	534.2592592592592	487.9026548672566
A2FM6APZP3FN22	Coupled	13	595.5555555555555	468.0366972477064
A2FM6APZP3FN22	Coupled	14	556.0983606557377	489.415
A2FM6APZP3FN22	Coupled	15	540.4306930693069	501.66190476190474
A2PW5825FIRONK	Coupled	1	739.1936936936937	502.2654320987654
A2PW5825FIRONK	Coupled	2	nan	nan
A2PW5825FIRONK	Coupled	3	nan	nan
A2PW5825FIRONK	Coupled	4	nan	nan
A2PW5825FIRONK	Coupled	5	nan	nan
A2PW5825FIRONK	Coupled	6	568.2230215827338	516.5562913907285
A2PW5825FIRONK	Coupled	7	nan	nan
A2PW5825FIRONK	Coupled	8	nan	nan
A2PW5825FIRONK	Coupled	9	589.3233532934132	501.6510416666667
A2PW5825FIRONK	Coupled	10	704.4577464788732	509.1554404145078
A2PW5825FIRONK	Coupled	11	493.63358778625957	516.260162601626
A2PW5825FIRONK	Coupled	12	632.7828947368421	514.145945945946
A2PW5825FIRONK	Coupled	13	650.1684210526316	509.9495798319328
A2PW5825FIRONK	Coupled	14	575.9613733905579	508.3346153846154
A2PW5825FIRONK	Coupled	15	615.010989010989	509.10185185185185
A376AZWIBALRC	Coupled	1	nan	nan
A376AZWIBALRC	Coupled	2	nan	nan
A376AZWIBALRC	Coupled	3	nan	nan
A376AZWIBALRC	Coupled	4	365.97752808988764	504.3010752688172
A376AZWIBALRC	Coupled	5	599.3696682464455	473.7315175097276
A376AZWIBALRC	Coupled	6	514.7071428571429	502.3857142857143
A376AZWIBALRC	Coupled	7	607.8512396694215	473.1006711409396
A376AZWIBALRC	Coupled	8	622.6923076923077	468.3963414634146
A376AZWIBALRC	Coupled	9	707.5	464.79611650485435
A376AZWIBALRC	Coupled	10	687.51	445.28275862068966
A376AZWIBALRC	Coupled	11	577.3142857142857	465.85990338164254
A376AZWIBALRC	Coupled	12	742.9177215189874	526.6214953271028
A376AZWIBALRC	Coupled	13	779.7173913043479	476.2307692307692
A376AZWIBALRC	Coupled	14	647.4137931034483	492.53872053872055
A376AZWIBALRC	Coupled	15	517.9144385026738	492.9267015706806
A38V6MB0UIXY0N	Coupled	1	nan	nan
A38V6MB0UIXY0N	Coupled	2	377.6757575757576	330.93766937669375
A38V6MB0UIXY0N	Coupled	3	585.4368421052632	468.42543859649123
A38V6MB0UIXY0N	Coupled	4	628.4525862068965	498.576512455516
A38V6MB0UIXY0N	Coupled	5	612.2878787878788	477.2962962962963
A38V6MB0UIXY0N	Coupled	6	573.1961722488038	485.30379746835445
A38V6MB0UIXY0N	Coupled	7	556.6315789473684	502.60283687943263
A38V6MB0UIXY0N	Coupled	8	653.6326530612245	551.5089820359282
A38V6MB0UIXY0N	Coupled	9	642.8866666666667	484.44559585492226
A38V6MB0UIXY0N	Coupled	10	669.0357142857143	485.74545454545455
A38V6MB0UIXY0N	Coupled	11	716.7597765363129	518.75
A38V6MB0UIXY0N	Coupled	12	696.1435185185185	534.5471014492754
A38V6MB0UIXY0N	Coupled	13	903.1446540880503	443.30721003134795
A38V6MB0UIXY0N	Coupled	14	482.6516393442623	325.5130434782609
A38V6MB0UIXY0N	Coupled	15	721.831081081081	485.98591549295776
A3D1QQ8BEO75C6	Coupled	1	nan	nan
A3D1QQ8BEO75C6	Coupled	2	469.7343173431734	487.2007874015748
A3D1QQ8BEO75C6	Coupled	3	503.27777777777777	470.6666666666667
A3D1QQ8BEO75C6	Coupled	4	541.4158415841584	471.20982142857144
A3D1QQ8BEO75C6	Coupled	5	488.6449275362319	437.4026402640264
A3D1QQ8BEO75C6	Coupled	6	472.0703125	455.8307086614173
A3D1QQ8BEO75C6	Coupled	7	468.8222222222222	465.48826291079814
A3D1QQ8BEO75C6	Coupled	8	486.4259259259259	482.7987012987013
A3D1QQ8BEO75C6	Coupled	9	518.2608695652174	460.1491935483871
A3D1QQ8BEO75C6	Coupled	10	515.0695652173913	455.74590163934425
A3D1QQ8BEO75C6	Coupled	11	527.328	492.3720930232558
A3D1QQ8BEO75C6	Coupled	12	nan	nan
A3D1QQ8BEO75C6	Coupled	13	801.2333333333333	513.5265700483092
A3D1QQ8BEO75C6	Coupled	14	550.34008097166	482.53308823529414
A3D1QQ8BEO75C6	Coupled	15	486.7971014492754	480.2167487684729
A3H2KP0VBENV3N	Coupled	1	523.7777777777778	511.23493975903614
A3H2KP0VBENV3N	Coupled	2	513.4263565891473	500.53225806451616
A3H2KP0VBENV3N	Coupled	3	494.16564417177915	505.5921052631579
A3H2KP0VBENV3N	Coupled	4	495.4842767295597	502.08666666666664
A3H2KP0VBENV3N	Coupled	5	484.65340909090907	481.5595238095238
A3H2KP0VBENV3N	Coupled	6	481.28877005347596	491.3735632183908
A3H2KP0VBENV3N	Coupled	7	483.8383233532934	493.8407643312102
A3H2KP0VBENV3N	Coupled	8	485.60571428571427	491.8658536585366
A3H2KP0VBENV3N	Coupled	9	493.1111111111111	492.6774193548387
A3H2KP0VBENV3N	Coupled	10	490.3606557377049	485.90285714285716
A3H2KP0VBENV3N	Coupled	11	489.82105263157894	496.52247191011236
A3H2KP0VBENV3N	Coupled	12	478.37640449438203	478.50887573964496
A3H2KP0VBENV3N	Coupled	13	492.6681034482759	485.9506726457399
A3H2KP0VBENV3N	Coupled	14	476.27272727272725	482.25324675324674
A3H2KP0VBENV3N	Coupled	15	487.1748633879781	488.1676300578035
A3LNWWZ7HGAGGM	Coupled	1	501.37327188940094	499.65865384615387
A3LNWWZ7HGAGGM	Coupled	2	487.40555555555557	478.6127167630058
A3LNWWZ7HGAGGM	Coupled	3	482.2164179104478	479.1640625
A3LNWWZ7HGAGGM	Coupled	4	481.11392405063293	476.5960264900662
A3LNWWZ7HGAGGM	Coupled	5	483.43835616438355	485.59712230215825
A3LNWWZ7HGAGGM	Coupled	6	530.0071428571429	478.5
A3LNWWZ7HGAGGM	Coupled	7	504.78343949044586	484.93589743589746
A3LNWWZ7HGAGGM	Coupled	8	487.4024390243902	490.7548387096774
A3LNWWZ7HGAGGM	Coupled	9	478.4824120603015	474.6910994764398
A3LNWWZ7HGAGGM	Coupled	10	479.0581395348837	474.5792682926829
A3LNWWZ7HGAGGM	Coupled	11	477.3587786259542	483.5365853658537
A3LNWWZ7HGAGGM	Coupled	12	490.0348837209302	478.2857142857143
A3LNWWZ7HGAGGM	Coupled	13	482.14084507042253	471.83009708737865
A3LNWWZ7HGAGGM	Coupled	14	473.39716312056737	470.2761194029851
A3LNWWZ7HGAGGM	Coupled	15	497.2952380952381	481.54368932038835
A3Q4Y5ONYPSQGF	Coupled	1	nan	nan
A3Q4Y5ONYPSQGF	Coupled	2	357.16015625	458.374358974359
A3Q4Y5ONYPSQGF	Coupled	3	443.6853448275862	475.74178403755866
A3Q4Y5ONYPSQGF	Coupled	4	516.0566801619433	489.47058823529414
A3Q4Y5ONYPSQGF	Coupled	5	528.860824742268	496.0049751243781
A3Q4Y5ONYPSQGF	Coupled	6	215.95717884130983	177.42165898617512
A3Q4Y5ONYPSQGF	Coupled	7	nan	nan
A3Q4Y5ONYPSQGF	Coupled	8	nan	nan
A3Q4Y5ONYPSQGF	Coupled	9	818.7657657657658	497.185393258427
A3Q4Y5ONYPSQGF	Coupled	10	875.3235294117648	514.8
A3Q4Y5ONYPSQGF	Coupled	11	765.3846153846154	494.26751592356686
A3Q4Y5ONYPSQGF	Coupled	12	876.7232704402516	529.5
A3Q4Y5ONYPSQGF	Coupled	13	467.9736842105263	480.35714285714283
A3Q4Y5ONYPSQGF	Coupled	14	482.2295918367347	494.57458563535914
A3Q4Y5ONYPSQGF	Coupled	15	466.6601941747573	513.0229885057471
A7OZPNXIVO1FX	Coupled	1	nan	nan
A7OZPNXIVO1FX	Coupled	2	332.8070866141732	510.5670731707317
A7OZPNXIVO1FX	Coupled	3	296.0238095238095	512.4042553191489
A7OZPNXIVO1FX	Coupled	4	nan	nan
A7OZPNXIVO1FX	Coupled	5	349.3975903614458	500.0
A7OZPNXIVO1FX	Coupled	6	379.86425339366514	505.20183486238534
A7OZPNXIVO1FX	Coupled	7	406.4591029023747	505.66996699669966
A7OZPNXIVO1FX	Coupled	8	370.4931506849315	508.77251184834125
A7OZPNXIVO1FX	Coupled	9	384.8831168831169	512.1246376811595
A7OZPNXIVO1FX	Coupled	10	381.0612813370474	496.8438661710037
A7OZPNXIVO1FX	Coupled	11	391.2604501607717	490.08264462809916
A7OZPNXIVO1FX	Coupled	12	400.57605985037407	494.22641509433964
A7OZPNXIVO1FX	Coupled	13	409.375	518.7916666666666
A7OZPNXIVO1FX	Coupled	14	372.77777777777777	504.42424242424244
A7OZPNXIVO1FX	Coupled	15	397.9895287958115	499.7718120805369
AJZYNIL3ITOK0	Coupled	1	nan	nan
AJZYNIL3ITOK0	Coupled	2	nan	nan
AJZYNIL3ITOK0	Coupled	3	nan	nan
AJZYNIL3ITOK0	Coupled	4	nan	nan
AJZYNIL3ITOK0	Coupled	5	611.0457142857143	472.75342465753425
AJZYNIL3ITOK0	Coupled	6	637.2547770700637	453.228855721393
AJZYNIL3ITOK0	Coupled	7	584.6560846560847	485.2217194570136
AJZYNIL3ITOK0	Coupled	8	581.5357142857143	485.6352201257862
AJZYNIL3ITOK0	Coupled	9	553.3636363636364	518.8551724137931
AJZYNIL3ITOK0	Coupled	10	529.5523255813954	519.2634730538922
AJZYNIL3ITOK0	Coupled	11	524.1105263157895	507.75401069518716
AJZYNIL3ITOK0	Coupled	12	542.4916666666667	496.3790322580645
AJZYNIL3ITOK0	Coupled	13	545.1920903954802	512.1277777777777
AJZYNIL3ITOK0	Coupled	14	572.5763888888889	506.4166666666667
AJZYNIL3ITOK0	Coupled	15	521.7037037037037	519.9090909090909
AUPXYEKITX8UT	Coupled	1	477.8688524590164	386.52803738317755
AUPXYEKITX8UT	Coupled	2	473.463687150838	508.49056603773585
AUPXYEKITX8UT	Coupled	3	457.04651162790697	495.77894736842103
AUPXYEKITX8UT	Coupled	4	442.2422360248447	472.02097902097904
AUPXYEKITX8UT	Coupled	5	451.77570093457945	490.64664310954066
AUPXYEKITX8UT	Coupled	6	455.2023121387283	489.3267973856209
